"url","eingereicht_am","mitunterzeichner"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243483","27.05.2024","Tuosto Brenda, Aellen Cyril, Bendahan Samuel, Brenzikofer Florence, Bühler Manfred, Chappuis Isabelle, Christ Katja, Cottier Damien, Crottaz Brigitte, Dandrès Christian, Docourt Martine, Fehlmann Rielle Laurence, Feller Olivier, Gobet Nadine, Guggisberg Lars, Imark Christian, Jaccoud Jessica, Klopfenstein Broggini Delphine, Mahaim Raphaël, Masshardt Nadine, Munz Martina, Nicolet Jacques, Nordmann Roger, Pahud Yvan, Piller Carrard Valérie, Porchet Léonore, Pult Jon, Revaz Estelle, Roth Pasquier Marie-France, Ruch Daniel, Rumy Farah, Schläfli Nina, Schnyder Markus, Stettler Thomas, Storni Bruno, Tschopp Jean, Walder Nicolas, Weber Céline, Wehrli Laurent, Zryd Andrea"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243480","27.05.2024","Crevoisier Crelier Mathilde"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243468","ngIf: businessRole.Committees.CommitteeName Kommission für Verkehr und Fernmeldewesen Nationalrat end ngIf: businessRole.Committees.CommitteeName","Kommission für Verkehr und Fernmeldewesen Nationalrat, Cottier Damien, Töngi Michael"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243382","15.03.2024","Stocker Simon"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243381","15.03.2024","Zopfi Mathias"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243380","15.03.2024","Graf Maya, Vara Céline, Zopfi Mathias"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243365","15.03.2024","Porchet Léonore, Baumann Kilian, Brenzikofer Florence, Clivaz Christophe, Fivaz Fabien, Klopfenstein Broggini Delphine, Mahaim Raphaël, Michaud Gigon Sophie, Prelicz-Huber Katharina, Töngi Michael, Trede Aline, Walder Nicolas, Weichelt Manuela, Wettstein Felix"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243359","15.03.2024","Gysin Greta, Badertscher Christine, Brenzikofer Florence, Clivaz Christophe, Giacometti Anna, Glättli Balthasar, Mahaim Raphaël, Porchet Léonore, Schlatter Marionna, Walder Nicolas, Weichelt Manuela, Wettstein Felix"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243353","15.03.2024","Fivaz Fabien, Schlatter Marionna, Baumann Kilian, Brenzikofer Florence, Clivaz Christophe, Glättli Balthasar, Gysin Greta, Klopfenstein Broggini Delphine, Mahaim Raphaël, Porchet Léonore, Prelicz-Huber Katharina, Schlatter Marionna, Walder Nicolas, Weichelt Manuela, Wettstein Felix"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243352","15.03.2024","Fivaz Fabien, Schlatter Marionna, Baumann Kilian, Brenzikofer Florence, Clivaz Christophe, Glättli Balthasar, Gysin Greta, Klopfenstein Broggini Delphine, Mahaim Raphaël, Michaud Gigon Sophie, Porchet Léonore, Prelicz-Huber Katharina, Schlatter Marionna, Walder Nicolas, Weichelt Manuela, Wettstein Felix"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243321","15.03.2024","Brenzikofer Florence, Alijaj Islam, Badertscher Christine, Baumann Kilian, Bäumle Martin, Bürgin Yvonne, Candan Hasan, Christ Katja, Clivaz Christophe, Fivaz Fabien, Friedl Claudia, Giacometti Anna, Gianini Simone, Glättli Balthasar, Grossen Jürg, Jauslin Matthias Samuel, Kutter Philipp, Lohr Christian, Mahaim Raphaël, Marti Min Li, Meier Andreas, Mettler Melanie, Müller-Altermatt Stefan, Munz Martina, Nause Reto, Nordmann Roger, Prelicz-Huber Katharina, Rumy Farah, Schaffner Barbara, Seiler Graf Priska, Walder Nicolas, Wettstein Felix"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243310","15.03.2024","Schlatter Marionna, Brenzikofer Florence, Clivaz Christophe, Fivaz Fabien, Glättli Balthasar, Klopfenstein Broggini Delphine, Mahaim Raphaël, Porchet Léonore, Töngi Michael, Weichelt Manuela, Wettstein Felix"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243296","15.03.2024","Munz Martina, Candan Hasan, Alijaj Islam, Brenzikofer Florence, Candan Hasan, Clivaz Christophe, Fehlmann Rielle Laurence, Friedl Claudia, Giacometti Anna, Gysi Barbara, Jaccoud Jessica, Kälin Irène, Marti Min Li, Revaz Estelle, Rosenwasser Anna, Roth David, Rumy Farah, Schläfli Nina, Seiler Graf Priska, Storni Bruno, Trede Aline, Tschopp Jean, Zryd Andrea, Zybach Ursula"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243287","14.03.2024","Fehlmann Rielle Laurence, Bläsi Thomas, Clivaz Christophe, Crottaz Brigitte, Docourt Martine, Friedl Claudia, Golay Roger, Gysi Barbara, Jaccoud Jessica, Munz Martina, Nordmann Roger, Revaz Estelle, Storni Bruno, Tschopp Jean, Tuosto Brenda"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243281","14.03.2024",""
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243277","14.03.2024","Hess Lorenz, Bregy Philipp Matthias, Candinas Martin, de Courten Thomas, Gartmann Walter, Hug Roman, Kaufmann Pius, Schnyder Markus, Stadler Simon"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243268","14.03.2024","Storni Bruno, Aebischer Matthias, Amoos Emmanuel, Andrey Gerhard, Bäumle Martin, Bulliard-Marbach Christine, Candan Hasan, Clivaz Christophe, Farinelli Alex, Fehlmann Rielle Laurence, Flach Beat, Fonio Giorgio, Fridez Pierre-Alain, Friedl Claudia, Giacometti Anna, Gianini Simone, Girod Bastien, Glättli Balthasar, Gugger Niklaus-Samuel, Gysi Barbara, Gysin Greta, Jauslin Matthias Samuel, Marchesi Piero, Marti Min Li, Masshardt Nadine, Müller-Altermatt Stefan, Munz Martina, Nordmann Roger, Pamini Paolo, Piller Carrard Valérie, Prelicz-Huber Katharina, Pult Jon, Revaz Estelle, Roth David, Seiler Graf Priska, Stadler Simon, Suter Gabriela, Tschopp Jean, Weber Céline, Wettstein Felix"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243246","14.03.2024","Calame Didier"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243168","13.03.2024","Golay Roger"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243126","11.03.2024","Poggia Mauro"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243123","11.03.2024","Häberli-Koller Brigitte"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243110","07.03.2024","Calame Didier, Amoos Emmanuel, Andrey Gerhard, Bläsi Thomas, Bühler Manfred, Docourt Martine, Fivaz Fabien, Freymond Sylvain, Nicolet Jacques, Pahud Yvan, Porchet Léonore, Ruch Daniel, Sormanni Daniel, Stettler Thomas, Trede Aline, Walder Nicolas"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243074","29.02.2024","Girod Bastien, Hess Erich, Egger Mike, Grossen Jürg, Imark Christian, Jauslin Matthias Samuel, Müller-Altermatt Stefan, Munz Martina, Paganini Nicolò, Schaffner Barbara, Suter Gabriela, Trede Aline, Vincenz-Stauffacher Susanne, Wismer-Felder Priska"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243030","26.02.2024","Giacometti Anna"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243007","ngIf: businessRole.Committees.CommitteeName Kommission für Umwelt, Raumplanung und Energie Ständerat end ngIf: businessRole.Committees.CommitteeName","Kommission für Umwelt, Raumplanung und Energie Ständerat, Fässler Daniel"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20243005","ngIf: businessRole.Committees.CommitteeName Kommission für Umwelt, Raumplanung und Energie Nationalrat end ngIf: businessRole.Committees.CommitteeName","Kommission für Umwelt, Raumplanung und Energie Nationalrat"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234451","21.12.2023","Stark Jakob, Broulis Pascal, Chassot Isabelle, Chiesa Marco, Häberli-Koller Brigitte, Juillard Charles, Wicki Hans"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234334","ngIf: businessRole.Committees.CommitteeName Kommission für Umwelt, Raumplanung und Energie Nationalrat end ngIf: businessRole.Committees.CommitteeName","Kommission für Umwelt, Raumplanung und Energie Nationalrat, Vincenz-Stauffacher Susanne"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234332","ngIf: businessRole.Committees.CommitteeName Kommission für Umwelt, Raumplanung und Energie Nationalrat end ngIf: businessRole.Committees.CommitteeName","Kommission für Umwelt, Raumplanung und Energie Nationalrat, Graber Michael"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234331","ngIf: businessRole.Committees.CommitteeName Kommission für Wirtschaft und Abgaben Nationalrat end ngIf: businessRole.Committees.CommitteeName","Kommission für Wirtschaft und Abgaben Nationalrat, Wermuth Cédric"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234330","ngIf: businessRole.Committees.CommitteeName Kommission für Umwelt, Raumplanung und Energie Ständerat end ngIf: businessRole.Committees.CommitteeName","Kommission für Umwelt, Raumplanung und Energie Ständerat, Müller Damian"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234320","ngIf: businessRole.Committees.CommitteeName Aussenpolitische Kommission Nationalrat end ngIf: businessRole.Committees.CommitteeName","Aussenpolitische Kommission Nationalrat, Crottaz Brigitte, Pfister Gerhard"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234309","29.09.2023","Mazzone Lisa, Vara Céline"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234279","29.09.2023","Suter Gabriela, Fehlmann Rielle Laurence, Girod Bastien, Gredig Corina, Grossen Jürg, Gysi Barbara, Molina Fabian, Müller-Altermatt Stefan, Munz Martina, Schneider Schüttel Ursula, Seiler Graf Priska"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234262","29.09.2023","Wettstein Felix"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234236","28.09.2023","Klopfenstein Broggini Delphine, Clivaz Christophe, Fehlmann Rielle Laurence, Porchet Léonore, Roduit Benjamin, Weber Céline"
"https://www.parlament.ch/de/ratsbetrieb/suche-curia-vista/geschaeft?AffairId=20234233","28.09.2023","Roduit Benjamin, Brenzikofer Florence, Cattaneo Rocco, Clivaz Christophe, Gschwind Jean-Paul, Locher Benguerel Sandra, Maitre Vincent, Page Pierre-André, Regazzi Fabio, Vincenz-Stauffacher Susanne"
